Pincode,Pickup,Delivery,city,state,Oda Charge BucketName,Oda Charge BucketValue,Opa Extra Tat,Oda Extra Tat
744301,INACTIVE ,ACTIVE ,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744302,INACTIVE ,ACTIVE ,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744303,INACTIVE ,ACTIVE ,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744304,INACTIVE ,ACTIVE ,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744201,INACTIVE ,ACTIVE ,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744202,INACTIVE ,ACTIVE ,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744203,INACTIVE ,ACTIVE ,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744204,INACTIVE ,ACTIVE ,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744205,INACTIVE ,ACTIVE ,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744209,INACTIVE ,ACTIVE ,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744210,INACTIVE ,ACTIVE ,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744101,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744102,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744103,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744105,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744106,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744107,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744112,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744206,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 2 ,4,0,10
744207,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
744211,INACTIVE ,ACTIVE ,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,Rivigo Extension 1 ,3,null ,10
515001,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
515002,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
515003,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
515004,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
515005,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
515101,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515110,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515122,INACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
515123,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515124,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515133,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515134,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515144,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515154,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515159,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515164,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515201,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515202,INACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
515211,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515212,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515231,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515241,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515261,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515271,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515281,INACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
515286,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515291,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515301,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515303,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
